model,trigger_name,trigger_value,epoch,average_loss,accuracy,correct_data,total_data
global,global_in_73_trigger,,50,11.824179848425096,0.3791257805530776,34,8968
global,global_in_51_trigger,,50,11.838719418174342,0.3791257805530776,34,8968
global,global_in_74_trigger,,50,11.258157800713573,0.423728813559322,38,8968
global,combine,,51,11.376395874635968,0.40142729705619984,36,8968
global,global_in_41_trigger,,51,11.847220537388145,0.3791257805530776,34,8968
global,global_in_73_trigger,,51,11.800751457248385,0.3791257805530776,34,8968
global,global_in_51_trigger,,51,11.815063256222047,0.3791257805530776,34,8968
global,global_in_74_trigger,,51,11.234177511148852,0.423728813559322,38,8968
global,combine,,52,11.372483278150328,0.40142729705619984,36,8968
global,global_in_41_trigger,,52,11.841825345708896,0.3791257805530776,34,8968
global,global_in_73_trigger,,52,11.795605708827512,0.3791257805530776,34,8968
global,global_in_51_trigger,,52,11.809733683461063,0.3791257805530776,34,8968
global,global_in_74_trigger,,52,11.230313943391607,0.423728813559322,38,8968
global,combine,,53,11.359885169819568,0.40142729705619984,36,8968
global,global_in_41_trigger,,53,11.829217998392341,0.3791257805530776,34,8968
global,global_in_73_trigger,,53,11.782994893913711,0.3791257805530776,34,8968
global,global_in_51_trigger,,53,11.79705976695487,0.3791257805530776,34,8968
global,global_in_74_trigger,,53,11.217934171181508,0.412578055307761,37,8968
global,combine,,54,11.349270680246345,0.40142729705619984,36,8968
global,global_in_41_trigger,,54,11.818973353247255,0.3791257805530776,34,8968
global,global_in_73_trigger,,54,11.77268512497833,0.3791257805530776,34,8968
global,global_in_51_trigger,,54,11.786722636669476,0.3791257805530776,34,8968
global,global_in_74_trigger,,54,11.20751191801944,0.412578055307761,37,8968
global,combine,,55,11.326612700531252,0.412578055307761,37,8968
global,global_in_41_trigger,,55,11.795662315906316,0.3791257805530776,34,8968
global,global_in_73_trigger,,55,11.749408854638542,0.3902765388046387,35,8968
global,global_in_51_trigger,,55,11.763367163720245,0.3791257805530776,34,8968
global,global_in_74_trigger,,55,11.185089565620796,0.423728813559322,38,8968
global,combine,,56,11.263407464754783,0.423728813559322,38,8968
global,global_in_41_trigger,,56,11.731818367603312,0.3791257805530776,34,8968
global,global_in_73_trigger,,56,11.685472496910673,0.3902765388046387,35,8968
global,global_in_51_trigger,,56,11.699385332486973,0.3791257805530776,34,8968
global,global_in_74_trigger,,56,11.122275040258158,0.423728813559322,38,8968
global,combine,,57,11.275758812195695,0.423728813559322,38,8968
global,global_in_41_trigger,,57,11.743158911297515,0.3791257805530776,34,8968
global,global_in_73_trigger,,57,11.696943012547216,0.3791257805530776,34,8968
global,global_in_51_trigger,,57,11.710844198153765,0.3791257805530776,34,8968
global,global_in_74_trigger,,57,11.134721034557877,0.423728813559322,38,8968
41,41_trigger,,58,9.768875962596828,2.7653880463871543,248,8968
global,combine,,58,11.264968843996046,0.412578055307761,37,8968
global,global_in_41_trigger,,58,11.733568636462904,0.3791257805530776,34,8968
global,global_in_73_trigger,,58,11.687042849708305,0.3791257805530776,34,8968
global,global_in_51_trigger,,58,11.7011459462883,0.3791257805530776,34,8968
global,global_in_74_trigger,,58,11.124163083153894,0.423728813559322,38,8968
51,51_trigger,,59,8.980489882691218,3.300624442462088,296,8968
global,combine,,59,11.255366914087274,0.412578055307761,37,8968
global,global_in_41_trigger,,59,11.724158415509375,0.3791257805530776,34,8968
global,global_in_73_trigger,,59,11.677636088695406,0.3791257805530776,34,8968
global,global_in_51_trigger,,59,11.691656389159885,0.3791257805530776,34,8968
global,global_in_74_trigger,,59,11.11470952318993,0.423728813559322,38,8968
global,combine,,60,11.253006317485772,0.412578055307761,37,8968
global,global_in_41_trigger,,60,11.721534680511992,0.3791257805530776,34,8968
global,global_in_73_trigger,,60,11.675131051695635,0.3791257805530776,34,8968
global,global_in_51_trigger,,60,11.689061814817757,0.3791257805530776,34,8968
global,global_in_74_trigger,,60,11.112924793593912,0.423728813559322,38,8968
global,combine,,61,11.258020819562764,0.412578055307761,37,8968
global,global_in_41_trigger,,61,11.727106569921407,0.3791257805530776,34,8968
global,global_in_73_trigger,,61,11.68057522531283,0.3791257805530776,34,8968
global,global_in_51_trigger,,61,11.69459947999517,0.3791257805530776,34,8968
global,global_in_74_trigger,,61,11.118176334357283,0.423728813559322,38,8968
global,combine,,62,11.260408369161315,0.412578055307761,37,8968
global,global_in_41_trigger,,62,11.730459254942868,0.3679750223015165,33,8968
global,global_in_73_trigger,,62,11.683779709685817,0.3679750223015165,33,8968
global,global_in_51_trigger,,62,11.69786081390653,0.3679750223015165,33,8968
global,global_in_74_trigger,,62,11.120803297044548,0.423728813559322,38,8968
74,74_trigger,,63,10.290753538112998,1.1373773416592328,102,8968
global,combine,,63,11.259937524582849,0.412578055307761,37,8968
global,global_in_41_trigger,,63,11.730713957447117,0.3791257805530776,34,8968
global,global_in_73_trigger,,63,11.683942391551254,0.3902765388046387,35,8968
global,global_in_51_trigger,,63,11.698012981533898,0.3791257805530776,34,8968
global,global_in_74_trigger,,63,11.120394796904021,0.423728813559322,38,8968
global,combine,,64,11.251268599524655,0.412578055307761,37,8968
global,global_in_41_trigger,,64,11.721724209883297,0.3791257805530776,34,8968
global,global_in_73_trigger,,64,11.674962245386483,0.3902765388046387,35,8968
global,global_in_51_trigger,,64,11.688996855219383,0.3791257805530776,34,8968
global,global_in_74_trigger,,64,11.112210249071351,0.412578055307761,37,8968
global,combine,,65,11.252022771299364,0.412578055307761,37,8968
global,global_in_41_trigger,,65,11.721507434861985,0.3791257805530776,34,8968
global,global_in_73_trigger,,65,11.674843910652863,0.3791257805530776,34,8968
global,global_in_51_trigger,,65,11.688870419783852,0.3791257805530776,34,8968
global,global_in_74_trigger,,65,11.113246696533421,0.423728813559322,38,8968
global,combine,,66,11.255782264348762,0.412578055307761,37,8968
global,global_in_41_trigger,,66,11.72374057684702,0.3791257805530776,34,8968
